id,label,color,meta
AGAP000057.RA,sv,black,TF_given
AGAP000066.RA,Sox102F,black,TF_given
AGAP000141.RA,CG31224,black,TF_given
AGAP000547.RA,Rbsn-5,black,TF_given
AGAP000646.RA,Dm,black,TF_given
AGAP000876.RA,Ac/Sc,black,TF_given
AGAP001093.RA,kay,black,TF_given
AGAP001156.RA,Pbp95,black,TF_given
AGAP001388.RA,dmrt93B,black,TF_given
AGAP001786.RA,osa,black,TF_given
AGAP001994.RA,Bap111,black,TF_given
AGAP002082.RA,sqz,black,TF_given
AGAP002155.RA,Hnf4,black,TF_given
AGAP002352.RB,p53,black,TF_given
AGAP002773.RA,sr,black,TF_given
AGAP002902.RA,Med,black,TF_given
AGAP002920.RA,CG17829,black,TF_given
AGAP002954.RA,Cdc5,black,TF_given
AGAP003117.RA,cic,black,TF_given
AGAP003449.RA,Root,black,TF_given
AGAP003669.RA,Dr,black,TF_given
AGAP004864.RA,Pep,black,TF_given
AGAP004990.RA,mbf1,black,TF_given
AGAP005437.RA,CG6272,black,TF_given
AGAP005551.RA,Rabex-5,black,TF_given
AGAP005641.RA,CG9705,black,TF_given
AGAP005655.RA,Cyc,black,TF_given
AGAP006022.RA,Met,black,TF_given
AGAP006061.RA,ken,black,TF_given
AGAP006392.RA,CG4617,black,TF_given
AGAP006601.RA,MEP-1,black,TF_given
AGAP006642.RA,dve,black,TF_given
AGAP006736.RA,sug,black,TF_given
AGAP006747.RA,REL2,black,TF_given
AGAP009444.RA,Unknown,black,TF_given
AGAP009494.RA,Ets21C,black,TF_given
AGAP009515.RA,REL1,black,TF_given
AGAP009662.RA,Kr-h1,black,TF_given
AGAP009676.RA,chm,black,TF_given
AGAP009888.RA,CG33695,black,TF_given
AGAP009899.RA,klu,black,TF_given
AGAP009983.RA,net,black,TF_given
AGAP010405.RA,Maf-S,black,TF_given
AGAP012389.RA,Pan,black,TF_given
AGAP000088.RA,CYP4H19,blue,Cytochrome
AGAP000192.RA,CYP4C26,blue,Cytochrome
AGAP000193.RA,CYP4C37,blue,Cytochrome
AGAP000194.RA,CYP4C25,blue,Cytochrome
AGAP000284.RA,CYP315A1,blue,Cytochrome
AGAP000818.RA,CYP9K1,blue,Cytochrome
AGAP000877.RA,CYP4G17,blue,Cytochrome
AGAP001039.RA,CYP307A1,blue,Cytochrome
AGAP001076.RB,CYP4G16,blue,Cytochrome
AGAP001076.RC,CYP4G16,blue,Cytochrome
AGAP001076.RA,CYP4G16,blue,Cytochrome
AGAP001076.RD,CYP4G16,blue,Cytochrome
AGAP001443.RA,CYP325J1,blue,Cytochrome
AGAP001861.RA,CYP4H14,blue,Cytochrome
AGAP001864.RA,CYP4H15,blue,Cytochrome
AGAP002138.RA,CYP325H1,blue,Cytochrome
AGAP002195.RA,CYP325F2,blue,Cytochrome
AGAP002196.RA,CYP325G1,blue,Cytochrome
AGAP002197.RA,CYP325F1,blue,Cytochrome
AGAP002202.RA,CYP325E1,blue,Cytochrome
AGAP002204.RA,CYP325D1,blue,Cytochrome
AGAP002205.RA,CYP325C2,blue,Cytochrome
AGAP002206.RA,CYP325D2,blue,Cytochrome
AGAP002207.RA,CYP325C1,blue,Cytochrome
AGAP002208.RA,CYP325A3,blue,Cytochrome
AGAP002209.RA,CYP325A2,blue,Cytochrome
AGAP002210.RA,CYP325B1,blue,Cytochrome
AGAP002211.RA,CYP325A1,blue,Cytochrome
AGAP002416.RA,CYP4K2,blue,Cytochrome
AGAP002417.RA,CYP4AR1,blue,Cytochrome
AGAP002418.RA,CYP4D15,blue,Cytochrome
AGAP002419.RA,CYP4D22,blue,Cytochrome
AGAP002429.RA,CYP314A1,blue,Cytochrome
AGAP002555.RA,CYP325K1,blue,Cytochrome
AGAP002862.RA,CYP6AA1,blue,Cytochrome
AGAP002864.RA,CYP6P15P,blue,Cytochrome
AGAP002865.RA,CYP6P3,blue,Cytochrome
AGAP002866.RA,CYP6P5,blue,Cytochrome
AGAP002867.RA,CYP6P4,blue,Cytochrome
AGAP002868.RA,CYP6P1,blue,Cytochrome
AGAP002869.RA,CYP6P2,blue,Cytochrome
AGAP002870.RA,CYP6AD1,blue,Cytochrome
AGAP002894.RA,CYP6Z4,blue,Cytochrome
AGAP003065.RA,CYP11179,blue,Cytochrome
AGAP003066.RA,CYP304B1,blue,Cytochrome
AGAP003067.RA,CYP304C1,blue,Cytochrome
AGAP003343.RA,CYP6AG1,blue,Cytochrome
AGAP003522.RA,CYP329A1,blue,Cytochrome
AGAP003608.RA,CYP4AA1,blue,Cytochrome
AGAP004665.RA,CYP306A1,blue,Cytochrome
AGAP005656.RA,CYP305A1,blue,Cytochrome
AGAP005657.RA,CYP305A3,blue,Cytochrome
AGAP005658.RA,CYP15B1,blue,Cytochrome
AGAP005660.RA,CYP305A4,blue,Cytochrome
AGAP005774.RA,CYP49A1,blue,Cytochrome
AGAP005992.RA,CYP302A1,blue,Cytochrome
