from,to,width
AGAP001156.RA,AGAP001085.RA,0.9825
AGAP001388.RA,AGAP002432.RA,0.9805
AGAP001994.RA,AGAP000646.RA,0.9755
AGAP006392.RA,AGAP011622.RA,0.97
AGAP002352.RB,AGAP001461.RA,0.9625
AGAP005655.RA,AGAP012761.RA,0.955
AGAP006022.RA,AGAP010318.RA,0.949
AGAP001156.RA,AGAP004008.RA,0.945
AGAP001156.RA,AGAP007978.RA,0.939
AGAP001093.RA,AGAP002839.RB,0.938
AGAP006022.RA,AGAP012955.RA,0.9355
AGAP002920.RA,AGAP004471.RA,0.933
AGAP001156.RA,AGAP005155.RA,0.928
AGAP005641.RA,AGAP005387.RA,0.927
AGAP003117.RA,AGAP010534.RA,0.926
AGAP001388.RA,AGAP003306.RA,0.925
AGAP006061.RA,AGAP003276.RA,0.9245
AGAP005655.RA,AGAP010240.RA,0.923
AGAP001156.RA,AGAP008337.RA,0.9225
AGAP000547.RA,AGAP003650.RA,0.922
AGAP006601.RA,AGAP008755.RA,0.9195
AGAP001156.RA,AGAP001096.RA,0.9185
AGAP002902.RA,AGAP000155.RA,0.918
AGAP005437.RA,AGAP005909.RA,0.9165
AGAP006022.RA,AGAP007944.RA,0.915
AGAP010405.RA,AGAP008109.RA,0.9135
AGAP001156.RA,AGAP001214.RA,0.9135
AGAP000547.RA,AGAP002383.RA,0.913
AGAP006022.RA,AGAP006433.RA,0.9125
AGAP002902.RA,AGAP000756.RA,0.9115
AGAP006392.RA,AGAP007068.RA,0.9105
AGAP009983.RA,AGAP011788.RA,0.909
AGAP002920.RA,AGAP010792.RA,0.908
AGAP000646.RA,AGAP001994.RA,0.908
AGAP005641.RA,AGAP001874.RC,0.907
AGAP001093.RA,AGAP004984.RA,0.907
AGAP010405.RA,AGAP003914.RB,0.9065
AGAP006392.RA,AGAP011441.RA,0.905
AGAP005655.RA,AGAP003441.RA,0.9045
AGAP001156.RA,AGAP002729.RA,0.9045
AGAP000876.RA,AGAP009583.RC,0.9045
AGAP001156.RA,AGAP005246.RE,0.904
AGAP001156.RA,AGAP004841.RA,0.9015
AGAP009983.RA,AGAP008297.RA,0.9
AGAP005655.RA,AGAP010766.RA,0.8945
AGAP001156.RA,AGAP005984.RB,0.894
AGAP005641.RA,AGAP005837.RA,0.893
AGAP010405.RA,AGAP000141.RA,0.892
AGAP000547.RA,AGAP011347.RA,0.892
AGAP003117.RA,AGAP000355.RA,0.891
AGAP001156.RA,AGAP007623.RA,0.8885
AGAP001156.RA,AGAP001404.RA,0.8875
AGAP002920.RA,AGAP011912.RA,0.887
AGAP002920.RA,AGAP002017.RA,0.8855
AGAP001156.RA,AGAP008942.RA,0.8855
AGAP003117.RA,AGAP009213.RA,0.885
AGAP001093.RA,AGAP010397.RA,0.8825
AGAP001156.RA,AGAP005660.RA,0.8795
AGAP009983.RA,AGAP003296.RA,0.8785
AGAP003449.RA,AGAP007161.RA,0.878
AGAP009983.RA,AGAP008345.RA,0.8755
AGAP009983.RA,AGAP008331.RA,0.8715
AGAP009983.RA,AGAP011158.RA,0.8715
AGAP002902.RA,AGAP002866.RA,0.871
AGAP009983.RA,AGAP000662.RB,0.869
AGAP001156.RA,AGAP010198.RA,0.868
AGAP001156.RA,AGAP012964.RA,0.868
AGAP003117.RA,AGAP006106.RA,0.865
AGAP006022.RA,AGAP007085.RA,0.8645
AGAP005655.RA,AGAP009985.RA,0.8635
AGAP002352.RB,AGAP013443.RA,0.8635
AGAP009983.RA,AGAP011190.RA,0.8625
AGAP010405.RA,AGAP009283.RA,0.862
AGAP005655.RA,AGAP013339.RA,0.862
AGAP001156.RA,AGAP011897.RA,0.8615
AGAP003117.RA,AGAP000007.RA,0.8605
AGAP002773.RA,AGAP009013.RA,0.8605
AGAP006022.RA,AGAP000184.RA,0.859
AGAP006061.RA,AGAP011197.RA,0.8585
AGAP001156.RA,AGAP009416.RA,0.8585
AGAP006022.RA,AGAP004548.RA,0.8575
AGAP001093.RA,AGAP006225.RA,0.8575
AGAP005655.RA,AGAP005375.RA,0.856
AGAP005655.RA,AGAP007732.RA,0.856
AGAP001156.RA,AGAP005984.RA,0.856
AGAP000646.RA,AGAP002018.RA,0.8555
AGAP002155.RA,AGAP008461.RA,0.855
AGAP009983.RA,AGAP000948.RA,0.853
AGAP005655.RA,AGAP006970.RA,0.852
AGAP009983.RA,AGAP001753.RA,0.8515
AGAP001156.RA,AGAP012302.RA,0.8515
AGAP001156.RA,AGAP008166.RA,0.851
AGAP002920.RA,AGAP005049.RA,0.8505
AGAP001093.RA,AGAP008339.RA,0.85
AGAP001156.RA,AGAP009655.RA,0.8485
AGAP000066.RA,AGAP010572.RA,0.8485
AGAP009983.RA,AGAP004945.RA,0.848
AGAP009676.RA,AGAP003439.RR,0.848
AGAP001156.RA,AGAP001313.RA,0.848
AGAP001156.RA,AGAP003040.RA,0.848
AGAP001156.RA,AGAP007835.RA,0.848
AGAP002920.RA,AGAP005017.RA,0.8475
AGAP001156.RA,AGAP006238.RA,0.847
AGAP001156.RA,AGAP008916.RA,0.847
AGAP009983.RA,AGAP009133.RA,0.845
AGAP001786.RA,AGAP007383.RA,0.845
AGAP000547.RA,AGAP012397.RA,0.845
AGAP009676.RA,AGAP002023.RA,0.8445
AGAP003669.RA,AGAP006430.RB,0.8445
AGAP005655.RA,AGAP000534.RA,0.8435
AGAP009983.RA,AGAP001569.RB,0.843
AGAP002352.RB,AGAP002358.RA,0.843
AGAP006022.RA,AGAP001552.RA,0.8425
AGAP001156.RA,AGAP009658.RA,0.84
AGAP009983.RA,AGAP006051.RA,0.8395
AGAP010405.RA,AGAP003847.RA,0.838
AGAP003117.RA,AGAP010607.RA,0.838
AGAP006061.RA,AGAP001157.RA,0.837
AGAP009444.RA,AGAP005174.RA,0.8365
AGAP006392.RA,AGAP000839.RA,0.835
AGAP001156.RA,AGAP010957.RA,0.8345
